initial body weight loss target	0	1.4421	1	For adults with type 2 diabetes who are overweight, set an initial body weight loss target of 5–10percent.	
body weight loss target	0	1.3979	1	For adults with type 2 diabetes who are overweight, set an initial body weight loss target of 5–10percent.	
contributory sympathetic nervous system	0	1.3979	1	Think about the possibility of contributory sympathetic nervous system damage for adults with type 2 diabetes who lose the warning signs of hypoglycaemia.	
digital retinal photography programme	0	1.3979	1	Use a quality-assured digital retinal photography programme using appropriately trained staff.	
erratic blood glucose control	0	1.3979	1	Think about a diagnosis of gastroparesis in adults with type 2 diabetes with erratic blood glucose control or unexplained gastric bloating or vomiting, taking into account possible alternative diagnoses.	
initial body weight loss	0	1.3979	1	For adults with type 2 diabetes who are overweight, set an initial body weight loss target of 5–10percent.	
local eye screening service	0	1.3979	1	On diagnosis, GPs should immediately refer adults with type 2 diabetes to the local eye screening service.	
painful diabetic peripheral neuropathy	0	1.3979	1	For guidance on managing painful diabetic peripheral neuropathy in adults with type 2 diabetes, see the NICE guideline on neuropathic pain in adults.	
perform visual acuity testing	0	1.3979	1	Perform visual acuity testing as a routine part of eye screening programmes.	
quality-assured digital retinal photography	0	1.3979	1	Use a quality-assured digital retinal photography programme using appropriately trained staff.	
sympathetic nervous system damage	0	1.3979	1	Think about the possibility of contributory sympathetic nervous system damage for adults with type 2 diabetes who lose the warning signs of hypoglycaemia.	
vitreous haemorrhage retinal detachment	0	1.3979	1	Arrange emergency review by an ophthalmologist for: sudden loss of vision rubeosis iridis pre-retinal or vitreous haemorrhage retinal detachment.	
first-line antihypertensive drug treatment	0	1.0027	3	First-line antihypertensive drug treatment should be a once-daily, generic angiotensin-converting enzyme (ACE) inhibitor.	The first-line antihypertensive drug treatment for a person of African or Caribbean family origin should be an ACE inhibitor plus either a diuretic or a generic calcium-channel blocker.	A calcium-channel blocker should be the first-line antihypertensive drug treatment for a woman for whom, after an informed discussion, it is agreed there is a possibility of her becoming pregnant	
offer group education programmes	0	0.44789999999999996	1	Offer group education programmes as the preferred option. Provide an alternative of equal standard for a person unable or unwilling to participate in group education.	
national screening committee criteria	0	-1.0	1	Refer to an ophthalmologist in accordance with the National Screening Committee criteria and timelines if any of these features are present: referable maculopathy: exudate or retinal thickening within 1 disc diameter of the centre of the fovea circinate or group of exudates within the macula (the macula is defined here as a circle centred on the fovea, with a diameter the distance between the temporal border of the optic disc and the fovea) any microaneurysm or haemorrhage within 1 disc diameter of the centre of the fovea, only if associated with deterioration of best visual acuity to 6 12 or worse. referable pre-proliferative retinopathy (if cotton wool spots are present, look carefully for the following features, but cotton wool spots themselves do not define pre-proliferative retinopathy): any venous beading any venous reduplication any intraretinal microvascular abnormalities multiple deep, round or blot haemorrhages. any large, sudden unexplained drop in visual acuity.	
